name,search,url
Youth Mental Health & Screens,"(""youth mental health"" OR ""teen depression"" OR ""suicide risk"" OR ""child well-being"") 
AND (""screen time"" OR ""social media"" OR ""digital media"" OR ""technology use"")",https://www.google.com/alerts/feeds/07456959579114045064/7689664752578529569
Smartphones in Schools,"(""ban smartphones in schools"" OR ""cellphone free schools"" OR ""phone-free classroom"" 
OR ""classroom smartphone policies"" OR ""students screen time education"")",https://www.google.com/alerts/feeds/07456959579114045064/8106258612508912824
Tech Accountability & Safeguards,"(""child online safety"" OR ""child online safety bill"" OR ""tech product safety""  OR ""technology safeguards children"" OR ""digital wellness legislation"") AND (Congress OR legislation OR law OR regulation)",https://www.google.com/alerts/feeds/07456959579114045064/9373597863127475649
Parent & Community Organizing,"(""parent advocacy"" OR ""parents organizing"" OR ""community response"" OR ""local chapters"") 
AND (""screen time"" OR ""media addiction"" OR ""digital media"")",https://www.google.com/alerts/feeds/07456959579114045064/14499665843164058428
Media & Policy Landscape,"(""media addiction"" OR ""digital wellness"" OR ""runaway tech"" OR ""screen addiction"") 
AND (""public health"" OR ""policy"" OR ""legislation"" OR ""expert insights"")",https://www.google.com/alerts/feeds/07456959579114045064/7818173052221843674
Industry Narrative / Counter-Messaging,"(""tech industry defense"" OR ""Silicon Valley"" OR ""social media companies"") 
AND (""youth mental health"" OR ""child safety"" OR ""screen time"")",https://www.google.com/alerts/feeds/07456959579114045064/8968419227005297833
MAMA in the News,"(""Mothers Against Media Addiction"") 
OR (""Julie Scelfo"" AND (""media ecologist"" OR ""youth mental health""))",https://www.google.com/alerts/feeds/07456959579114045064/12018912504640804879
